      substrate side find move fruit twig leaf init
fr1   fruit        1    5    1     3    2    1    1
fr2   fruit        2    5    1     3    2    1    1
fr3   fruit        3    5    1     3    2    1    1
fr4   fruit        4    5    1     3    2    1    1
fr5   fruit        5    5    1     3    2    1    1
fr6   fruit        6    5    1     3    2    1    1
fr7   fruit        7    5    1     3    2    1    1
fr8   fruit        8    5    1     3    2    1    1
fr9   fruit        9    5    1     3    2    1    1
fr10  fruit       10    5    1     3    2    1    1
fr11  fruit       11    5    1     3    2    1    1
fr12  fruit       12    5    1     3    2    1    1
fr13  fruit       13    5    1     3    2    1    1
fr14  fruit       14    5    1     3    2    1    1
fr15  fruit       15    5    1     3    2    1    1
fr16  fruit       16    5    1     3    2    1    1
fr17  fruit       17    5    1     3    2    1    1
fr18  fruit       18    5    1     3    2    1    1
fr19  fruit       19    5    1     3    2    1    1
fr20  fruit       20    5    1     3    2    1    1
twig  twig        NA    1    5     3    1    2    1
lftop leaf       top    3    3     3    2    1    5
lfbot leaf    bottom    2    4     3    1    2    0
